Commercial District,Address,City,State,Zip Code,Square Footage,Length of Vacancy,Ownership Type,Former Tenant/Current Business,Business for Sale,Leasing Activity,Recorded Owner,Leasing Contact,Coordinates for Mapping
Porter Sq-Lower Massachusetts Ave.,1741 Massachusetts Avenue,Cambridge,Massachusetts,02140,1469,2-5 years,Trust,Nomad,,Leased pending occupancy,"George Wyner Realty LLC c/o Myer Dana and Sons, Inc. 1340 Centre Street #101 Newton, MA 02459","Dan Bloom at Tactical Realty Group, dan@TactBoston.com",POINT (-71.11915595399995 42.384581069000035)
Harvard Square,1100 Massachusetts Avenue,Cambridge,Massachusetts,02138,,1-2 years,Real Estate Investment Trust (REIT),Au Bon Pain,,Actively leasing,"Sun Like Assurance Co. of Canada c/o Bentall Kennedy LP, One Federal Street, 25th floor, Boston, MA 02110","Leasing: Avison Young, (617) 366-1001",POINT (-71.11374996199999 42.370411587000035)
Harvard Square,20-22 Eliot Street,Cambridge,Massachusetts,02138,,6-10 months,Trust,Wrapro,,Unknown,"Louis F. Di Giovanni, Trustee of Kennedy and Eliot Realty Trust, P.O. Box 380212, Cambridge, MA 02238",,POINT (-71.12111111699994 42.37188600600007)
East Cambridge,1055 Cambridge Street,Cambridge,Massachusetts,02139,,5 years or more,Trust,University Monument,,Under redevelopment,"418 Real Estate LLC 250 Dorchester Ave. #2 Boston, MA 02127",,POINT (-71.09474282299993 42.37318641600007)
Porter Sq-Lower Massachusetts Ave.,15 White Street,Cambridge,Massachusetts,02140,2045,1-2 years,Real Estate Investment Trust (REIT),AT&T,,Leased pending occupancy,"Porter Square LLC c/o Gravestar 160 Second Street, Cambridge, MA 02142","Dartmouth Company, Mary Powers, (617) 369-5915",POINT (-71.11858271599993 42.389870217000066)
Smaller Districts,1000 Massachusetts Avenue,Cambridge,Massachusetts,02139,4016,1-2 years,Real Estate Investment Trust (REIT),Cambridge College,,Actively leasing,"1000 Massachusetts Ave MA LLC, c/o 1270 Soldiers Field Rd., Boston, MA 02135","Berkshire Hathaway Commercial, 617-924-1200",POINT (-71.11089173299996 42.368807668000045)
Harvard Square,2 Bennett Street,Cambridge,Massachusetts,02138,5200,2-5 years,Trust,Les Sablons,,Actively leasing,"Conductor's Building LLC, 20 University Road, Cambridge, MA 02138","Dartmouth Company, Lindsey Sandell, (617) 369-5936",POINT (-71.12206665399998 42.37269008200008)
Central Square,40 Prospect St.,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),Improv Boston,,Actively leasing,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459","CCAdvisors, 617-970-7232",POINT (-71.10317778399997 42.36607881400005)
Porter Sq-Lower Massachusetts Ave.,1957 Massachusetts Avenue,Cambridge,Massachusetts,02140,,5 years or more,Trust,Medusa Cross Fit,,Unknown,"Spoulous LLC, 626 Main Street, Acton, MA 01720",Contact (617) 547-7031,POINT (-71.12010168399996 42.389999257000056)
North Massachusetts Ave.,2370 Massachusetts Avenue,Cambridge,Massachusetts,02140,,6-10 months,Domestic Limited Liability Company (LLC),Dudley Dry Cleaners,,Actively leasing,"James H. Batmasian, c/o Investments, Limited, 215 North Federal Highway, Boca Raton, FL 33432",(617) 547-0026,POINT (-71.12951776199998 42.39667435200005)
Central Square,675 Massachusetts Avenue,Cambridge,Massachusetts,02139,1780,5 years or more,Real Estate Investment Trust (REIT),T-Mobile/CCTV,,Unknown,"U.S. REIF Central Plaza Massachusetts LLC c/o Intercontinental Mgmt. Corporation 1270 Soldiers Field Rd. Boston, MA 02135","Boston Urban Partners, Patrick Conly, 617-274-4900",POINT (-71.10375714099996 42.36611535900005)
Harvard Square,10 Church Street,Cambridge,Massachusetts,02138,,5 years or more,Real Estate Investment Trust (REIT),Loews Movie Theater,,Under redevelopment,"Kirche, LLC c/o Prague & Company 15 Walnut Street, Suite 150 Wellesley, MA 02481",,POINT (-71.11971284799995 42.37417866600004)
Kendall Square,50 Hampshire Street,Cambridge,Massachusetts,02139,,6-10 months,Foreign Limited Liability Company (LLC),The Automatic,,Actively leasing,"BMR-Hampshire LLC P.O. Box 847, Carlsbad, CA 92018","Boston Restaurant Group, (978) 887-9895",POINT (-71.09276452599994 42.36683004200006)
Central Square,20 Sidney Street,Cambridge,Massachusetts,02139,2300,1-2 years,Real Estate Investment Trust (REIT),Unknown,,Actively leasing,"MIT 238 Main Street, Suite 200 Cambridge, MA 02142",Contact 617-551-0307 (no food use),POINT (-71.09966048599995 42.36165882700004)
East Cambridge,465 Cambridge Street,Cambridge,Massachusetts,02141,,5 years or more,Individual,Sew-Low Fabrics,,Leased pending occupancy,"Shirui Lin, 69 Eliot St. Newton, MA.",,POINT (-71.08401968699997 42.37178764400005)
Porter Sq-Lower Massachusetts Ave.,1925-B Massachusetts Avenue,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Watch Shop at Porter Square,,Actively leasing,"1925 Mass Ave LLC c/o Eric Hoagland, 195 Lexington Ave, Cambridge, MA 02139","Roy Papalia, (1617) 484-7474",POINT (-71.11968602599995 42.38945766000006)
Harvard Square,57 JFK Street,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Staples,,Leased pending occupancy,"Crimson Galeria Limited Partnership 1299 Beacon Street, Brookline, MA 02446",,POINT (-71.12089234899997 42.372135367000055)
Harvard Square,1246 Massachusetts Avenue,Cambridge,Massachusetts,02138,,NA,University,Mr. Bartley's Burger Cottage,true,Business for sale,"President & Fellows of Harvard College c/o Harvard Real Estate Inc., Holyoke Center - Room #1000, 1350 Mass Ave, Cambridge, MA 02138",,POINT (-71.11629730599998 42.37245320900007)
East Cambridge,189 Cambridge Street,Cambridge,Massachusetts,02141,,6-10 months,Domestic Limited Liability Company (LLC),Unknown - office space,,Actively leasing,"189 Cambridge Street, LLC, c/o the Mount Vernon Company, 1200 Soldiers Field Rd., Boston, MA 02134","Boston Realty Advisors, (617) 375-7900",POINT (-71.07907453099995 42.37109634700005)
Harvard Square,91 Winthrop Street,Cambridge,Massachusetts,02138,,6-10 months,Real Estate Investment Trust (REIT),Parsnip,,Unknown,"Eliot Square Enterprises, Inc. 1270 Soldiers Field Rd. Brighton, MA 02135",,POINT (-71.12098035899999 42.372635474000056)
Smaller Districts,253 Walden Street,Cambridge,Massachusetts,02140,1660,2-5 years,Trust,New Space,,Actively leasing,"Observatory Hill Development LLC, c/o Eric Hoagland, 195 Lexington Ave. Cambridge, MA 0218","Roy Papalia, (617) 306-7797",POINT (-71.13140090899998 42.38623213600005)
Central Square,20 Prospect Street,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),The Field,,Leased pending occupancy,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459",,POINT (-71.10358120499995 42.36569022900006)
East Cambridge,1-2 Canal Park,Cambridge,Massachusetts,02141,,1-2 years,Foreign Limited Liability Company (LLC),Haute Coffee,,Unknown,"One Canal Park Massachusetts, LLC C/O Intercontinental Realty Estate Investment, 1270 Soldiers Field Rd, Boston, MA 02135","Bay State REIT, LLC, (617) 782-2600",POINT (-71.07678484699994 42.36957478000005)
Harvard Square,1208 Massachusetts Ave,Cambridge,Massachusetts,02138,,1-2 years,Trust,Psychic reader,,Actively leasing,"Cambridge Real Estate Company, LLC P.O. 400575 Cambridge, MA 02140","Shannah Hall, (617) 686-9996, shannah@compass.com",POINT (-71.11541502699998 42.37186190800003)
Central Square,472 Massachusetts Avenue,Cambridge,Massachusetts,02139,,NA,Domestic Limited Liability Company (LLC),The Middle East Restaurant and Club,true,Business for sale,"Sater Realty LLC, Attn: Nabil Sater, 472 Massachusetts Ave., Cambridge, MA 02138",,POINT (-71.10152998499996 42.363618306000035)
Porter Sq-Lower Massachusetts Ave.,1644 Massachusetts Avenue,Cambridge,Massachusetts,02138,,1-2 years,Trust,New Space,,Actively leasing,"Trustees of the Tabit Family 2010 Irrev. Trust, 1804 Dogwood Circle, North Andover, MA 01845","Oxford Realty, (617) 354-3535",POINT (-71.12006337899999 42.38119448600003)
Porter Sq-Lower Massachusetts Ave.,1965 Massachusetts Avenue,Cambridge,Massachusetts,02140,,5 years or more,Real Estate Investment Trust (REIT),New Space,,Leased pending occupancy,"Urban Spaces, 1971 Mass Ave, LLC 111 First Street, Cambridge, MA 02141","Conviser Realty, Adam and Jim Conviser (781) 320-0600",POINT (-71.12035397999995 42.39023835000006)
Porter Sq-Lower Massachusetts Ave.,23 White St,Cambridge,Massachusetts,02140,315,6-10 months,Real Estate Investment Trust (REIT),Emack & Bolio's,,Actively leasing,"Porter Square LLC c/o Gravestar 160 Second Street, Cambridge, MA 02142","Dartmouth Company, Mary Powers, (617) 369-5915",POINT (-71.11862395499998 42.389750063000065)
Harvard Square,24 Eliot Street,Cambridge,Massachusetts,02138,,6-10 months,,Hertz Car Rental,,Unknown,"Louis F. Di Giovanni, Trustee of Kennedy and Eliot Realty Trust, P.O. Box 380212, Cambridge, MA 02238",,POINT (-71.12111111699994 42.37188600600007)
Kendall Square,5 Broad Canal Way,Cambridge,Massachusetts,02142,3600,6-10 months,Foreign Limited Liability Company (LLC),Kikas Tapas,,Unknown,"Watermark II Member LLC, 801 Grand Avenue, Des Moines, IA 50392.","leasing@graffito.cp,, (617) 401-2871",POINT (-71.08304721799993 42.363625640000066)
Fresh Pond-Alewife,359 Fresh Pond Parkway,Cambridge,Massachusetts,02138,,1-2 years,Real Estate Investment Trust (REIT),Vitamin Shoppe,,Actively leasing,"TGCI Fresh Pond LLC, 859 Willand St. #501, Quincy, MA 02169","Atlantic Retail, (617) 239-3646",POINT (-71.14083147199995 42.38615531600004)
Smaller Districts,370 Broadway,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),Snowdrop Montessori,,Unknown,"Cherry Street, LLC, 60 Highland Rd., Somerville, MA 02144",,POINT (-71.10474000299996 42.37063865300007)
Central Square,580 Massachusetts Avenue,Cambridge,Massachusetts,02139,,2-5 years,Trust,Harvest Coop,,Leased pending occupancy,"George and Ethel Rothman, c/o First Cambridge Realty 907 Massachusetts Ave., Cambridge, MA 02139","Godino & Co., Tim Coyle, 617-965-4200",POINT (-71.10307476999998 42.36453507700003)
Smaller Districts,121 Hampshire Street,Cambridge,Massachusetts,02139,2908,5 years or more,Trust,Poor Little Rich Girl,,Unknown,"Leonidas Perez & City of Cambridge Tax Title 230 Prospect Street Cambridge, MA 02139",,POINT (-71.09623077799995 42.37027119000004)
Central Square,904 Massachusetts Ave.,Cambridge,Massachusetts,02139,,6-10 months,Trust,Atomic Bean Café,,Unknown,"Mark W. Williamson Trustee, Mark W. Williamson Esq., PC, P.O. Box #267, Sterling, MA 01564",,POINT (-71.10872869899998 42.368180324000036)
Porter Sq-Lower Massachusetts Ave.,9 White Street,Cambridge,Massachusetts,02140,930,1-2 years,Real Estate Investment Trust (REIT),Zoots Cleaners,,Leased pending occupancy,"Porter Square LLC c/o Gravestar 160 Second Street, Cambridge, MA 02142","Dartmouth Company, Mary Powers, (617) 369-5915",POINT (-71.11858271599993 42.389870217000066)
Harvard Square,5 Bennett Street,Cambridge,Massachusetts,02138,,6-10 months,,Wellbridge Athletic Club,,Unknown,"Richard L. Friedman, John L. Hall III, 20 University Rd., Cambridge MA 02138",,POINT (-71.12276033999996 42.37235463800005)
Smaller Districts,955 Massachusetts Avenue,Cambridge,Massachusetts,02139,2365,2-5 years,Real Estate Investment Trust (REIT),Unknown,,Unknown,"DWF V 955 Massachusetts LLC c/o Divco West Real Estate LLC 575 Market Street, 35th floor, San Franciso, CA 94105","CBRE, Charles Kavoogian, (617) 912-7079",POINT (-71.10990819999995 42.36913338900007)
Harvard Square,1110 Massachusetts Avenue,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Inner Space Galler,,Actively leasing,"Gwen Marie LLC, 50 Bridge St., Lexington, MA 021421","Avison Young, (617) 250-7600, avisonyoung.com",POINT (-71.11385473599995 42.37057675300008)
Inman Square,1280 Cambridge Street,Cambridge,Massachusetts,02139,17352,1-2 years,Trust,Cambridge Auto Center,,Leased pending occupancy,"Nan Nai Ko and Julia Koang Shih Ko, Trustees of K & K Realty Trust, 40 Tabor Hill Road, Lincoln, MA 01793",Contact (508) 317-8887,POINT (-71.09887233499995 42.37324739500008)
Kendall Square,500 Kendall Street,Cambridge,Massachusetts,02142,,6-10 months,Foreign Limited Liability Company (LLC),Unknown,,Under redevelopment,"BMR-500 Kendall Street LLC, c/o Ryan LLC, P.O. Box 847, Carlsbad, CA 92018","Biomed Realty, Colleen O’Connor, (858) 386-8737, Colleen.OConnor@biomedrealty.com",POINT (-71.08134108199994 42.363911673000075)
Harvard Square,1120 Massachusetts Ave,Cambridge,Massachusetts,02138,7200,6-10 months,Real Estate Investment Trust (REIT),Karma Yoga Studio,,Actively leasing,"R. S. T. Realty, Inc., c/o 1120 Massachusetts LLC, 116 Huntington Ave., Suite 600, Boston, MA 02116","Bulfinch, 781-707-4102",POINT (-71.11396277799997 42.370654914000056)
Inman Square,243 Hampshire Street,Cambridge,Massachusetts,02139,,6-10 months,Trust,Inman Oasis,,Actively leasing,"Eliot J. Winograd & Michael Judith Rosenberg, Tr., 77 Court Street #204, Newton, MA 02458","Boston Realty Advisors, (617) 375-3900",POINT (-71.10092975699996 42.374264329000034)
Kendall Square,One Kendall Square,Cambridge,Massachusetts,02139,,6-10 months,Real Estate Investment Trust (REIT),The Friendly Toast,,Unknown,"ARE-MA Region No. 59 LLC, 385 East Colorado Boulevard, Pasadena, CA 91101",,POINT (-71.09011699999996 42.36743900000005)
