,Commercial District,Address,City,State,Zip Code,Square Footage,Length of Vacancy,Ownership Type,Former Tenant/Current Business,Business for Sale,Leasing Activity,Recorded Owner,Leasing Contact,long,lat,harv_dist,mit_dist,min_dist
76,Porter Sq-Lower Massachusetts Ave.,1674 Massachusetts Avenue,Cambridge,Massachusetts,2138,2469.0,5 years or more,Trust,Evergood Market,,Leased pending occupancy,"Stone Investment Holding, LLC, 9 Shepard Street, Cambridge, MA 02138","Dartmouth Company,  Rachel Feeley, (617) 369-5908",-71.12005273399996,42.38231703300005,0.9131338368360629,3.39735638368189,0.9131338368360629
77,Kendall Square,205 Broadway,Cambridge,Massachusetts,2139,,1-2 years,Real Estate Investment Trust (REIT),Tatte,,Leased pending occupancy,"BMR-Hampshire LLC, c/o Ryan LLC, P.O. Box 847, Carlsbad, CA 92018",,-71.09286376799999,42.36635638000007,2.182703635716204,0.7317318886379701,0.7317318886379701
78,East Cambridge,625 Cambridge Street,Cambridge,Massachusetts,2141,5742.0,6-10 months,Trust,Boston Bed Company,,Actively leasing,"Richard C. & Judith F. Silver, c/o Richard C. Silver Rev. Trust, 6876 Parisian Way, Lake Worth, FL 33467","ABG Commercial Advisors, (617) 850-2113",-71.08654171699999,42.37211705300007,2.523088443661682,1.4437168039852384,1.4437168039852384
79,Inman Square,1248 Cambridge Street,Cambridge,Massachusetts,2139,,6-10 months,Trust,Wit’s End,,Unknown,"Onaly A. Kapasi & Chander M. Kapasi, Trs., Ony’s Comet Trust, 356 Parker Street, Newton, MA 02459",,-71.09844963599994,42.37328708300005,1.5370557824405662,1.5878341465404358,1.5370557824405662
80,Harvard Square,999 Massachusetts Avenue,Cambridge,Massachusetts,2138,,6-10 months,Domestic Profit Corporation,BoConcept,,Unknown,"Richard Simon & William C. Kaplan, Trs. c/o Eastport Real Estate Services, Wakefield, MA 01880",(781) 890-5855,-71.11130579899998,42.369591125000056,0.7158863368580729,1.9170705494502387,0.7158863368580729
81,East Cambridge,402 Cambridge Street,Cambridge,Massachusetts,2141,,6-10 months,Trust,Travel insurance agency,,Actively leasing,"Manuel M. Dasilva & Maria F. Dasilva, trs. of M & R Realty Trust, 402 Cambridge St., Cambridge, MA 02141",(617) 686-9996,-71.08287052799994,42.37120631700003,2.8342209558639273,1.477708625436025,1.477708625436025
82,Kendall Square,610 Main St,Cambridge,Massachusetts,2139,1984.0,1-2 years,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"MIT 650 Main Street, LLC, c/o Bulfinch Property Mgmt LLC, 116 Huntington Ave., Suite 600, Boston, MA 02116","leasing@graffito.cp,, (617) 401-2871",-71.09435943499994,42.36262844500004,2.2811327117023157,0.3652107187548967,0.3652107187548967
83,Fresh Pond-Alewife,211 Alewife Brook Parkway,Cambridge,Massachusetts,2138,3391.0,2-5 years,Real Estate Investment Trust (REIT),Mattress Firm,,Leased pending occupancy,"Linear Retail - Cambridge #1 LLC, c/o Keypoint Partners, 1 Burlington Woods Drive, Burlington, MA 01803","Linaer Retail, (781) 202-3535",-71.14361367699996,42.39005650500008,2.7880607018810317,5.406058728034781,2.7880607018810317
84,Central Square,8 Essex Street,Cambridge,Massachusetts,2139,2820.0,1-2 years,Trust,New Space,,Unknown,"3MJ Associates, Inc. 563 Massachusetts Ave., Cambridge, MA 02139","Whitney Gallivan, Boston Realty Advisors, (617) 850-9612",-71.10269247099995,42.36537678700006,1.5516456955112288,1.0686187537030247,1.0686187537030247
85,Harvard Square,35 JFK Street,Cambridge,Massachusetts,2138,,6-10 months,Foreign Limited Liability Company (LLC),David’s Tea,,Unknown,"Mayhaw, LLC c/o NCP Management, P.O. Box 590179, Newton Center, MA 021459","(617) 945-0020, office@ncpmgmt.com",-71.12017410399994,42.37282653900007,0.3072164180443153,2.7235859802080378,0.3072164180443153
86,East Cambridge,293 Cambridge Street,Cambridge,Massachusetts,2141,3171.0,6-10 months,Individual,Courtside Bar,,Actively leasing,"John J. and Mary L. Alberts, 172 High St., Winchester, MA 01890","Eastern Retail, Joe Morrison, jmorrison@easternretail.com, (617) 630-1180",-71.08080011399994,42.37133078900007,3.00142852355128,1.5829782004654267,1.5829782004654267
87,Inman Square,1172 Cambridge,Cambridge,Massachusetts,2139,,6-10 months,Trust,The Rising,,Actively leasing,"1174-1178 CAMBRIDGE STREET, LLC, 120 GALLOUPES POINT RD, SWAMPSCOTT, MA 01907","KPMRealtyLLC@gmail.com, 617-461-2891",-71.09699914699996,42.37305813100005,1.6579496742893747,1.5281942688179997,1.5281942688179997
88,Porter Sq-Lower Massachusetts Ave.,1741 Massachusetts Avenue,Cambridge,Massachusetts,2140,1469.0,2-5 years,Trust,Nomad,,Leased pending occupancy,"George Wyner Realty LLC c/o Myer Dana and Sons, Inc. 1340 Centre Street #101 Newton, MA 02459","Dan Bloom at Tactical Realty Group, dan@TactBoston.com",-71.11915595399995,42.38458106900004,1.1446095714935614,3.5401924648904077,1.1446095714935614
89,Harvard Square,1100 Massachusetts Avenue,Cambridge,Massachusetts,2138,,1-2 years,Real Estate Investment Trust (REIT),Au Bon Pain,,Actively leasing,"Sun Like Assurance Co. of Canada c/o Bentall Kennedy LP, One Federal Street, 25th floor, Boston, MA 02110","Leasing: Avison Young, (617) 366-1001",-71.11374996199999,42.37041158700004,0.5219387480009658,2.1345115559108963,0.5219387480009658
90,Harvard Square,20-22 Eliot Street,Cambridge,Massachusetts,2138,,6-10 months,Trust,Wrapro,,Unknown,"Louis F. Di Giovanni, Trustee of Kennedy and Eliot Realty Trust, P.O. Box 380212, Cambridge, MA 02238",,-71.12111111699994,42.37188600600007,0.43210786840601445,2.7362400253378554,0.43210786840601445
91,East Cambridge,1055 Cambridge Street,Cambridge,Massachusetts,2139,,5 years or more,Trust,University Monument,,Under redevelopment,"418 Real Estate LLC 250 Dorchester Ave. #2 Boston, MA 02127",,-71.09474282299993,42.37318641600007,1.8415208919486457,1.504253950624369,1.504253950624369
92,Porter Sq-Lower Massachusetts Ave.,15 White Street,Cambridge,Massachusetts,2140,2045.0,1-2 years,Real Estate Investment Trust (REIT),AT&T,,Leased pending occupancy,"Porter Square LLC c/o Gravestar 160 Second Street, Cambridge, MA 02142","Dartmouth Company, Mary Powers, (617) 369-5915",-71.11858271599993,42.38987021700007,1.7245151786916217,3.989052956258098,1.7245151786916217
93,Smaller Districts,1000 Massachusetts Avenue,Cambridge,Massachusetts,2139,4016.0,1-2 years,Real Estate Investment Trust (REIT),Cambridge College,,Actively leasing,"1000 Massachusetts Ave MA LLC, c/o 1270 Soldiers Field Rd., Boston, MA 02135","Berkshire Hathaway Commercial, 617-924-1200",-71.11089173299996,42.368807668000045,0.8042329857780943,1.8403492312873608,0.8042329857780943
94,Harvard Square,2 Bennett Street,Cambridge,Massachusetts,2138,5200.0,2-5 years,Trust,Les Sablons,,Actively leasing,"Conductor's Building LLC, 20 University Road, Cambridge, MA 02138","Dartmouth Company, Lindsey Sandell, (617) 369-5936",-71.12206665399998,42.37269008200008,0.4501243471856554,2.8487941860125088,0.4501243471856554
95,Central Square,40 Prospect St.,Cambridge,Massachusetts,2139,,6-10 months,Domestic Limited Liability Company (LLC),Improv Boston,,Actively leasing,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459","CCAdvisors, 617-970-7232",-71.10317778399997,42.36607881400005,1.4711387758295182,1.1470999949805387,1.1470999949805387
96,Porter Sq-Lower Massachusetts Ave.,1957 Massachusetts Avenue,Cambridge,Massachusetts,2140,,5 years or more,Trust,Medusa Cross Fit,,Unknown,"Spoulous LLC, 626 Main Street, Acton, MA 01720",Contact (617) 547-7031,-71.12010168399996,42.389999257000056,1.7519923048726258,4.070275906624041,1.7519923048726258
97,North Massachusetts Ave.,2370 Massachusetts Avenue,Cambridge,Massachusetts,2140,,6-10 months,Domestic Limited Liability Company (LLC),Dudley Dry Cleaners,,Actively leasing,"James H. Batmasian, c/o Investments, Limited, 215 North Federal Highway, Boca Raton, FL 33432",(617) 547-0026,-71.12951776199998,42.39667435200005,2.678560302225652,5.124311293907769,2.678560302225652
98,Central Square,675 Massachusetts Avenue,Cambridge,Massachusetts,2139,1780.0,5 years or more,Real Estate Investment Trust (REIT),T-Mobile/CCTV,,Unknown,"U.S. REIF Central Plaza Massachusetts LLC c/o Intercontinental Mgmt. Corporation 1270 Soldiers Field Rd. Boston, MA 02135","Boston Urban Partners, Patrick Conly, 617-274-4900",-71.10375714099996,42.36611535900005,1.4318305876436002,1.1876206214034521,1.1876206214034521
99,Harvard Square,10 Church Street,Cambridge,Massachusetts,2138,,5 years or more,Real Estate Investment Trust (REIT),Loews Movie Theater,,Under redevelopment,"Kirche, LLC c/o Prague & Company 15 Walnut Street, Suite 150 Wellesley, MA 02481",,-71.11971284799995,42.37417866600004,0.21604175627197272,2.775355998654112,0.21604175627197272
100,Kendall Square,50 Hampshire Street,Cambridge,Massachusetts,2139,,6-10 months,Foreign Limited Liability Company (LLC),The Automatic,,Actively leasing,"BMR-Hampshire LLC P.O. Box 847, Carlsbad, CA 92018","Boston Restaurant Group, (978) 887-9895",-71.09276452599994,42.36683004200006,2.1691601506752396,0.7836093611836429,0.7836093611836429
101,Central Square,20 Sidney Street,Cambridge,Massachusetts,2139,2300.0,1-2 years,Real Estate Investment Trust (REIT),Unknown,,Actively leasing,"MIT 238 Main Street, Suite 200 Cambridge, MA 02142",Contact 617-551-0307 (no food use),-71.09966048599995,42.36165882700004,2.0149218857461353,0.654682722642733,0.654682722642733
102,East Cambridge,465 Cambridge Street,Cambridge,Massachusetts,2141,,5 years or more,Individual,Sew-Low Fabrics,,Leased pending occupancy,"Shirui Lin, 69 Eliot St. Newton, MA.",,-71.08401968699997,42.37178764400005,2.7329524261292857,1.4891276764279775,1.4891276764279775
103,Porter Sq-Lower Massachusetts Ave.,1925-B Massachusetts Avenue,Cambridge,Massachusetts,2138,,6-10 months,Domestic Limited Liability Company (LLC),Watch Shop at Porter Square,,Actively leasing,"1925 Mass Ave LLC c/o Eric Hoagland, 195 Lexington Ave, Cambridge, MA 02139","Roy Papalia, (1617) 484-7474",-71.11968602599995,42.38945766000006,1.6877545467317725,4.0013057339855385,1.6877545467317725
104,Harvard Square,57 JFK Street,Cambridge,Massachusetts,2138,,6-10 months,Domestic Limited Liability Company (LLC),Staples,,Leased pending occupancy,"Crimson Galeria Limited Partnership 1299 Beacon Street, Brookline, MA 02446",,-71.12089234899997,42.372135367000055,0.40057862609961564,2.734397145420263,0.40057862609961564
105,Harvard Square,1246 Massachusetts Avenue,Cambridge,Massachusetts,2138,,,University,Mr. Bartley's Burger Cottage,True,Business for sale,"President & Fellows of Harvard College c/o Harvard Real Estate Inc., Holyoke Center - Room #1000, 1350 Mass Ave, Cambridge, MA 02138",,-71.11629730599998,42.37245320900007,0.2262932784846245,2.4354895991284176,0.2262932784846245
106,East Cambridge,189 Cambridge Street,Cambridge,Massachusetts,2141,,6-10 months,Domestic Limited Liability Company (LLC),Unknown - office space,,Actively leasing,"189 Cambridge Street, LLC, c/o the Mount Vernon Company, 1200 Soldiers Field Rd., Boston, MA 02134","Boston Realty Advisors, (617) 375-7900",-71.07907453099995,42.37109634700005,3.145247517438147,1.650146399267481,1.650146399267481
107,Harvard Square,91 Winthrop Street,Cambridge,Massachusetts,2138,,6-10 months,Real Estate Investment Trust (REIT),Parsnip,,Unknown,"Eliot Square Enterprises, Inc. 1270 Soldiers Field Rd. Brighton, MA 02135",,-71.12098035899999,42.372635474000056,0.37430616052698223,2.768896282161383,0.37430616052698223
108,Smaller Districts,253 Walden Street,Cambridge,Massachusetts,2140,1660.0,2-5 years,Trust,New Space,,Actively leasing,"Observatory Hill Development LLC, c/o Eric Hoagland, 195 Lexington Ave. Cambridge, MA 0218","Roy Papalia, (617) 306-7797",-71.13140090899998,42.38623213600005,1.7637468393190756,4.365950474986218,1.7637468393190756
109,Central Square,20 Prospect Street,Cambridge,Massachusetts,2139,,6-10 months,Domestic Limited Liability Company (LLC),The Field,,Leased pending occupancy,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459",,-71.10358120499995,42.36569022900006,1.4735575656112485,1.1483948582160977,1.1483948582160977
110,East Cambridge,1-2 Canal Park,Cambridge,Massachusetts,2141,,1-2 years,Foreign Limited Liability Company (LLC),Haute Coffee,,Unknown,"One Canal Park Massachusetts, LLC C/O Intercontinental Realty Estate Investment, 1270 Soldiers Field Rd, Boston, MA 02135","Bay State REIT, LLC, (617) 782-2600",-71.07678484699994,42.36957478000005,3.355034771482414,1.662713130908846,1.662713130908846
111,Harvard Square,1208 Massachusetts Ave,Cambridge,Massachusetts,2138,,1-2 years,Trust,Psychic reader,,Actively leasing,"Cambridge Real Estate Company, LLC P.O. 400575 Cambridge, MA 02140","Shannah Hall, (617) 686-9996, shannah@compass.com",-71.11541502699998,42.37186190800003,0.31433889109130303,2.338377199278984,0.31433889109130303
112,Central Square,472 Massachusetts Avenue,Cambridge,Massachusetts,2139,,,Domestic Limited Liability Company (LLC),The Middle East Restaurant and Club,True,Business for sale,"Sater Realty LLC, Attn: Nabil Sater, 472 Massachusetts Ave., Cambridge, MA 02138",,-71.10152998499996,42.36361830600004,1.7531247780050847,0.8834972805966395,0.8834972805966395
113,Porter Sq-Lower Massachusetts Ave.,1644 Massachusetts Avenue,Cambridge,Massachusetts,2138,,1-2 years,Trust,New Space,,Actively leasing,"Trustees of the Tabit Family 2010 Irrev. Trust, 1804 Dogwood Circle, North Andover, MA 01845","Oxford Realty, (617) 354-3535",-71.12006337899999,42.38119448600003,0.7937572292949393,3.307063785139769,0.7937572292949393
114,Porter Sq-Lower Massachusetts Ave.,1965 Massachusetts Avenue,Cambridge,Massachusetts,2140,,5 years or more,Real Estate Investment Trust (REIT),New Space,,Leased pending occupancy,"Urban Spaces, 1971 Mass Ave, LLC 111 First Street, Cambridge, MA 02141","Conviser Realty, Adam and Jim Conviser (781) 320-0600",-71.12035397999995,42.39023835000006,1.7813087267607646,4.103919638132015,1.7813087267607646
115,Porter Sq-Lower Massachusetts Ave.,23 White St,Cambridge,Massachusetts,2140,315.0,6-10 months,Real Estate Investment Trust (REIT),Emack & Bolio's,,Actively leasing,"Porter Square LLC c/o Gravestar 160 Second Street, Cambridge, MA 02142","Dartmouth Company, Mary Powers, (617) 369-5915",-71.11862395499998,42.38975006300007,1.711432688870609,3.9797155178495007,1.711432688870609
116,Harvard Square,24 Eliot Street,Cambridge,Massachusetts,2138,,6-10 months,,Hertz Car Rental,,Unknown,"Louis F. Di Giovanni, Trustee of Kennedy and Eliot Realty Trust, P.O. Box 380212, Cambridge, MA 02238",,-71.12111111699994,42.37188600600007,0.43210786840601445,2.7362400253378554,0.43210786840601445
117,Kendall Square,5 Broad Canal Way,Cambridge,Massachusetts,2142,3600.0,6-10 months,Foreign Limited Liability Company (LLC),Kikas Tapas,,Unknown,"Watermark II Member LLC, 801 Grand Avenue, Des Moines, IA 50392.","leasing@graffito.cp,, (617) 401-2871",-71.08304721799993,42.36362564000007,3.0432808902408874,0.856852601289947,0.856852601289947
118,Fresh Pond-Alewife,359 Fresh Pond Parkway,Cambridge,Massachusetts,2138,,1-2 years,Real Estate Investment Trust (REIT),Vitamin Shoppe,,Actively leasing,"TGCI Fresh Pond LLC, 859 Willand St. #501, Quincy, MA 02169","Atlantic Retail, (617) 239-3646",-71.14083147199995,42.38615531600004,2.3469591527215043,4.96122709862046,2.3469591527215043
119,Smaller Districts,370 Broadway,Cambridge,Massachusetts,2139,,6-10 months,Domestic Limited Liability Company (LLC),Snowdrop Montessori,,Unknown,"Cherry Street, LLC, 60 Highland Rd., Somerville, MA 02144",,-71.10474000299996,42.37063865300007,1.0981218787847626,1.5908958826811475,1.0981218787847626
120,Central Square,580 Massachusetts Avenue,Cambridge,Massachusetts,2139,,2-5 years,Trust,Harvest Coop,,Leased pending occupancy,"George and Ethel Rothman, c/o First Cambridge Realty 907 Massachusetts Ave., Cambridge, MA 02139","Godino & Co., Tim Coyle, 617-965-4200",-71.10307476999998,42.36453507700003,1.5908596599235827,1.0441735722196208,1.0441735722196208
121,Smaller Districts,121 Hampshire Street,Cambridge,Massachusetts,2139,2908.0,5 years or more,Trust,Poor Little Rich Girl,,Unknown,"Leonidas Perez & City of Cambridge Tax Title 230 Prospect Street Cambridge, MA 02139",,-71.09623077799995,42.37027119000004,1.774787539404144,1.2127951659244176,1.2127951659244176
122,Central Square,904 Massachusetts Ave.,Cambridge,Massachusetts,2139,,6-10 months,Trust,Atomic Bean Café,,Unknown,"Mark W. Williamson Trustee, Mark W. Williamson Esq., PC, P.O. Box #267, Sterling, MA 01564",,-71.10872869899998,42.36818032400004,0.9753156976346338,1.6537428857034213,0.9753156976346338
123,Porter Sq-Lower Massachusetts Ave.,9 White Street,Cambridge,Massachusetts,2140,930.0,1-2 years,Real Estate Investment Trust (REIT),Zoots Cleaners,,Leased pending occupancy,"Porter Square LLC c/o Gravestar 160 Second Street, Cambridge, MA 02142","Dartmouth Company, Mary Powers, (617) 369-5915",-71.11858271599993,42.38987021700007,1.7245151786916217,3.989052956258098,1.7245151786916217
124,Harvard Square,5 Bennett Street,Cambridge,Massachusetts,2138,,6-10 months,,Wellbridge Athletic Club,,Unknown,"Richard L. Friedman, John L. Hall III, 20 University Rd., Cambridge MA 02138",,-71.12276033999996,42.37235463800005,0.5176236039234886,2.8799298585399193,0.5176236039234886
125,Smaller Districts,955 Massachusetts Avenue,Cambridge,Massachusetts,2139,2365.0,2-5 years,Real Estate Investment Trust (REIT),Unknown,,Unknown,"DWF V 955 Massachusetts LLC c/o Divco West Real Estate LLC 575 Market Street, 35th floor, San Franciso, CA 94105","CBRE, Charles Kavoogian, (617) 912-7079",-71.10990819999995,42.36913338900007,0.8318645054168657,1.7938097191444657,0.8318645054168657
126,Harvard Square,1110 Massachusetts Avenue,Cambridge,Massachusetts,2138,,6-10 months,Domestic Limited Liability Company (LLC),Inner Space Galler,,Actively leasing,"Gwen Marie LLC, 50 Bridge St., Lexington, MA 021421","Avison Young, (617) 250-7600, avisonyoung.com",-71.11385473599995,42.37057675300008,0.5018006901441877,2.15186113835413,0.5018006901441877
127,Inman Square,1280 Cambridge Street,Cambridge,Massachusetts,2139,17352.0,1-2 years,Trust,Cambridge Auto Center,,Leased pending occupancy,"Nan Nai Ko and Julia Koang Shih Ko, Trustees of K & K Realty Trust, 40 Tabor Hill Road, Lincoln, MA 01793",Contact (508) 317-8887,-71.09887233499995,42.37324739500008,1.5028181725660095,1.595442958070814,1.5028181725660095
128,Kendall Square,500 Kendall Street,Cambridge,Massachusetts,2142,,6-10 months,Foreign Limited Liability Company (LLC),Unknown,,Under redevelopment,"BMR-500 Kendall Street LLC, c/o Ryan LLC, P.O. Box 847, Carlsbad, CA 92018","Biomed Realty, Colleen O’Connor, (858) 386-8737, Colleen.OConnor@biomedrealty.com",-71.08134108199994,42.36391167300008,3.1607273653465273,0.9952120473571641,0.9952120473571641
129,Harvard Square,1120 Massachusetts Ave,Cambridge,Massachusetts,2138,7200.0,6-10 months,Real Estate Investment Trust (REIT),Karma Yoga Studio,,Actively leasing,"R. S. T. Realty, Inc., c/o 1120 Massachusetts LLC, 116 Huntington Ave., Suite 600, Boston, MA 02116","Bulfinch, 781-707-4102",-71.11396277799997,42.370654914000056,0.4897307837539341,2.164074073375545,0.4897307837539341
130,Inman Square,243 Hampshire Street,Cambridge,Massachusetts,2139,,6-10 months,Trust,Inman Oasis,,Actively leasing,"Eliot J. Winograd & Michael Judith Rosenberg, Tr., 77 Court Street #204, Newton, MA 02458","Boston Realty Advisors, (617) 375-3900",-71.10092975699996,42.374264329000034,1.3284075573189074,1.764383049867331,1.3284075573189074
131,Kendall Square,One Kendall Square,Cambridge,Massachusetts,2139,,6-10 months,Real Estate Investment Trust (REIT),The Friendly Toast,,Unknown,"ARE-MA Region No. 59 LLC, 385 East Colorado Boulevard, Pasadena, CA 91101",,-71.09011699999996,42.36743900000005,2.3479214890298095,0.8649017637670416,0.8649017637670416
